nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry
NCT00320801,,2006-04-28,2010-07-28,,2012-08-27,2006-04-28,2006-05-03,ESTIMATED,2010-08-23,2010-09-20,ESTIMATED,,,,2012-08-27,2012-09-03,ESTIMATED,2004-01,,2004-01-31,2012-08,2012-08-31,2005-03,ACTUAL,2005-03-31,2005-03,ACTUAL,2005-03-31,,INTERVENTIONAL,,,Buprenorphine Transdermal Patches (BTDS) in Subjects With Osteoarthritis Pain. Includes a 52-week Extension Phase.,"A Randomized, Double-Blind, Multicenter Study Evaluating The Safety and Efficacy of BTDS in Subjects With Moderate to Severe Osteoarthritis Pain. Includes a 52-Week Extension Phase.",TERMINATED,,PHASE3,188.0,ACTUAL,Purdue Pharma LP,Study terminated due to administrative reasons. The primary objective was changed to a safety study prior to unblinding.,2.0,,This study was terminated early due to administrative reasons.,f,,,,t,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT00323362,,2006-03-07,2013-11-18,,2014-04-25,2006-05-08,2006-05-09,ESTIMATED,2014-04-25,2014-05-22,ESTIMATED,,,,2014-04-25,2014-05-22,ESTIMATED,2006-04,,2006-04-30,2014-04,2014-04-30,2008-10,ACTUAL,2008-10-31,2008-10,ACTUAL,2008-10-31,,INTERVENTIONAL,,,Gemcitabine and Imatinib Mesylate in Treating Patients With Recurrent or Metastatic Non-Small Cell Lung Cancer,Phase II Study of Imatinib Mesylate and Gemcitabine for Recurrent/Metastatic Non-small Cell Lung Cancer (NSCLC),TERMINATED,,PHASE2,17.0,ACTUAL,"Rutgers, The State University of New Jersey",,1.0,,Toxicity,f,,,,f,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT05790200,,2023-03-01,,,2023-03-27,2023-03-27,2023-03-30,ACTUAL,,,,,,,2023-03-27,2023-03-30,ACTUAL,2023-04-01,ESTIMATED,2023-04-01,2023-03,2023-03-31,2025-09-22,ESTIMATED,2025-09-22,2025-09-22,ESTIMATED,2025-09-22,,INTERVENTIONAL,,,Cadonilimab (AK104) in the Treatment of Nasopharyngeal Carcinoma,A Phase II Clinical Study of Cadonilimab (AK104) Combined With Chemotherapy in the Treatment of PD-1 Inhibitor Resistant Nasopharyngeal Carcinoma,UNKNOWN,RECRUITING,PHASE2,30.0,ESTIMATED,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",,1.0,,,f,,,,f,f,f,,,,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT04535518,,2020-08-27,,,2021-03-10,2020-08-28,2020-09-02,ACTUAL,,,,,,,2021-03-10,2021-03-12,ACTUAL,2020-10,ESTIMATED,2020-10-31,2021-03,2021-03-31,2022-09,ESTIMATED,2022-09-30,2022-09,ESTIMATED,2022-09-30,,INTERVENTIONAL,,,Efficacy of Immunoglobulin Plus Infliximab for the Early Regression of Coronary Artery Lesion in Kawasaki Disease,"Efficacy of Primary Treatment With Immunoglobulin Plus Infliximab for the Early Regression of Coronary Artery Lesion in Kawasaki Disease: a Multicenter, Open-label, Blinded-end Randomized Controlled Study.",WITHDRAWN,,PHASE3,0.0,ACTUAL,Children's Hospital of Fudan University,,2.0,,lack of funding,f,,,,t,f,f,,,,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT01419795,,2011-08-15,2017-01-31,,2017-07-24,2011-08-17,2011-08-18,ESTIMATED,2017-01-31,2017-03-21,ACTUAL,,,,2017-07-24,2017-07-27,ACTUAL,2012-05,,2012-05-31,2017-07,2017-07-31,,,,2013-09,ACTUAL,2013-09-30,,INTERVENTIONAL,,,"Lenalidomide With or Without Rituximab in Treating Patients With Progressive or Relapsed Chronic Lymphocytic Leukemia, Small Lymphocytic Lymphoma, Prolymphocytic Leukemia, or Non-Hodgkin Lymphoma Previously Treated With Donor Stem Cell Transplant",A Phase II Study Investigating Treatment of Post-Allogeneic Transplant Progression or Relapse of CLL/SLL/PLL or NHL With Lenalidomide Alone or With Rituximab,TERMINATED,,PHASE2,3.0,ACTUAL,Fred Hutchinson Cancer Center,,2.0,,Low accrual,f,,,,t,,,,,,,,,,,,,2026-02-28 09:09:24.320398,2026-02-28 09:09:24.320398,OTHER,,,,,,
NCT04479358,,2020-07-13,2025-03-03,,2025-06-03,2020-07-18,2020-07-21,ACTUAL,2025-06-03,2025-06-05,ACTUAL,,,,2025-06-03,2025-06-05,ACTUAL,2020-09-10,ACTUAL,2020-09-10,2025-06,2025-06-30,2025-02-10,ACTUAL,2025-02-10,2024-03-01,ACTUAL,2024-03-01,,INTERVENTIONAL,COVIDOSE-2,,Low-dose Tocilizumab Versus Standard of Care in Hospitalized Patients With COVID-19,"COVIDOSE-2: A Multi-center, Randomized, Controlled Phase 2 Trial Comparing Early Administration of Low-dose Tocilizumab to Standard of Care in Hospitalized Patients With COVID-19 Pneumonitis Not Requiring Invasive Ventilation",TERMINATED,,PHASE2,85.0,ACTUAL,University of Chicago,,6.0,,Lack of recruitment of patients into the trial,f,,,,t,t,f,,,f,,,From 1 month following publication of data. Available indefinitely thereafter.,Proposals will need to be sent to study principal investigators. Requestors will need to sign a data access request form. Link to be determined.,,YES,"Individual participant data that underlie the results of this article, after de-identification. Sharing period will be 1 month after data are published and available indefinitely thereafter. Researchers who provide methodologically sound proposals for the purposes of achieving stated aims in their proposal will be eligible for data-sharing.",2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT05798611,,2023-03-23,,2025-11-05,2025-11-05,2023-03-23,2023-04-04,ACTUAL,,,,,2025-11-06,ACTUAL,2025-11-05,2025-11-06,ACTUAL,2023-09-06,ACTUAL,2023-09-06,2025-11,2025-11-30,2025-05-27,ACTUAL,2025-05-27,2024-11-15,ACTUAL,2024-11-15,,INTERVENTIONAL,ARTIST,,Study of ART0380 in Patients With Biologically Selected Solid Tumors,"A Phase II, Open-label, Multi-center, Basket Study of the ATR Kinase Inhibitor ART0380 Administered Orally as Monotherapy to Patients With Biologically Selected Advanced or Metastatic Solid Tumors (ARTIST)",TERMINATED,,PHASE2,36.0,ACTUAL,Artios Pharma Ltd,,2.0,,"Sponsor decision, not for reasons affecting the benefit-risk balance.",f,,,,f,t,f,,,,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT06011577,,2023-08-21,,,2025-11-05,2023-08-21,2023-08-25,ACTUAL,,,,,,,2025-11-05,2025-11-06,ACTUAL,2023-08-17,ACTUAL,2023-08-17,2025-01,2025-01-31,2024-12-19,ACTUAL,2024-12-19,2024-12-19,ACTUAL,2024-12-19,,INTERVENTIONAL,RELIGHT,,"Randomized, Double-Blind, Placebo-Controlled Trial of REL-1017 as Adjunctive Treatment for MDD","A Randomized, Double-Blind, Placebo-Controlled Trial of REL-1017 as an Adjunctive Treatment for Major Depressive Disorder (RELIGHT)",TERMINATED,,PHASE3,27.0,ACTUAL,Levomecor Inc.,,2.0,,Program Discontinued,t,,,,t,t,f,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,NCT06009003,TEMPORARILY_NOT_AVAILABLE,,,
NCT05493683,,2022-08-07,,,2022-10-19,2022-08-07,2022-08-09,ACTUAL,,,,,,,2022-10-19,2022-10-21,ACTUAL,2022-08-01,ACTUAL,2022-08-01,2022-10,2022-10-31,2025-07,ESTIMATED,2025-07-31,2025-07,ESTIMATED,2025-07-31,,INTERVENTIONAL,,,Disitamab Vedotin Combined With Tislelizumab in Advanced HER2 Positive Colorectal Cancer,"A Single Arm, Open Label, Multiple Center, Prospective Study of Disitamab Vedotin Combined With Tislelizumab in HER2 Positive Advanced Colorectal Cancer Failed at Least Two Lines of Systemic Treatment.",UNKNOWN,RECRUITING,PHASE2,29.0,ESTIMATED,The First Affiliated Hospital with Nanjing Medical University,,1.0,,,f,,,,,f,f,,,,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT04895046,,2021-05-17,,,2022-06-23,2021-05-17,2021-05-20,ACTUAL,,,,,,,2022-06-23,2022-06-29,ACTUAL,2021-10-11,ACTUAL,2021-10-11,2022-06,2022-06-30,2023-09,ESTIMATED,2023-09-30,2022-09,ESTIMATED,2022-09-30,,INTERVENTIONAL,,,Maintenance Niraparib and Dostarlimab in Advanced Cholangiocarcinoma,"Molecularly Driven, Immune-Based, Maintenance Niraparib and Dostarlimab in Advanced Stage Cholangiocarcinoma",WITHDRAWN,,PHASE2,0.0,ACTUAL,Hoosier Cancer Research Network,,1.0,,Funder decision,f,,,,t,t,f,,,,,,,,,NO,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT00470249,,2007-05-03,,,2021-01-29,2007-05-03,2007-05-07,ESTIMATED,,,,,,,2021-01-29,2021-02-01,ACTUAL,2006-07-15,ACTUAL,2006-07-15,2021-01,2021-01-31,2008-11-03,ACTUAL,2008-11-03,2008-11-03,ACTUAL,2008-11-03,,INTERVENTIONAL,,,Carboplatin and Gemcitabine in Treating Patients With Locally Advanced or Metastatic Breast Cancer,A Phase II Study of Carboplatin in Combination With Gemcitabine as a Dose Dense Schedule in Patients With Locally Advanced or Metastatic Breast Cancer That Are Resistant to Anthracyclines & Taxanes,TERMINATED,,PHASE2,5.0,ACTUAL,University of Southampton,,1.0,,Due to difficulty in recruitment,f,,,,f,f,f,,,,,,,,,NO,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT04465916,,2020-07-06,2022-08-22,,2022-10-11,2020-07-09,2020-07-10,ACTUAL,2022-09-21,2022-10-12,ACTUAL,,,,2022-10-11,2022-11-02,ACTUAL,2020-05-12,ACTUAL,2020-05-12,2022-10,2022-10-31,2021-11-25,ACTUAL,2021-11-25,2021-06-17,ACTUAL,2021-06-17,,INTERVENTIONAL,,,Study of EYP001a to Assess Its Safety and Anti-viral Effect in CHB Patients in Combination With NA (ETV or TD),"A Phase 2a, Randomized, Double-blind, Placebo-controlled Study of Oral FXR Modulator EYP001a Combined With Nucleos(t)Ide Analogues (NA) in Virologically Suppressed Chronic Hepatitis B Patients to Improve Functional Cure Rates",TERMINATED,,PHASE2,26.0,ACTUAL,Enyo Pharma,,2.0,,DSMC reviewed results of 26 subjects. New randomizations were stopped. Already randomized subjects were followed up to W40.,f,,,,t,t,f,,,,,,,,,,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,INDUSTRY,,,,,,
NCT00265863,,2005-12-14,,,2017-11-27,2005-12-14,2005-12-15,ESTIMATED,,,,,,,2017-11-27,2017-11-29,ACTUAL,2004-08,,2004-08-31,2017-11,2017-11-30,2005-08,ACTUAL,2005-08-31,2005-08,ACTUAL,2005-08-31,,INTERVENTIONAL,,,Mitomycin as a Hyperthermic Peritoneal Perfusion in Treating Patients With Malignant Ascites,Phase II Study of Laparoscopic Hyperthermic Peritoneal Chemotherapy for Malignant Ascites,TERMINATED,,PHASE2,1.0,ACTUAL,"Masonic Cancer Center, University of Minnesota",,1.0,,Withdrawn due to slow accrual,f,,,,t,,,,,,,,,,,,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT01408056,,2011-03-10,,,2014-01-16,2011-08-01,2011-08-03,ESTIMATED,,,,,,,2014-01-16,2014-01-17,ESTIMATED,2011-02,,2011-02-28,2014-01,2014-01-31,2014-01,ACTUAL,2014-01-31,2014-01,ACTUAL,2014-01-31,,INTERVENTIONAL,TOUCH,,Timolol Option for Ulcerated Hemangiomas (TOUCH Trial),The Efficacy of Timolol 0.5% Gel Forming Solution for the Treatment of Ulcerated Hemangiomas,WITHDRAWN,,PHASE2,0.0,ACTUAL,Children's Hospital of Philadelphia,,2.0,,Difficulty with recruitment,f,,,,f,,,,,,,,,,,,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT00544778,,2007-10-13,2014-06-12,,2014-08-19,2007-10-13,2007-10-16,ESTIMATED,2014-08-19,2014-08-28,ESTIMATED,,,,2014-08-19,2014-08-28,ESTIMATED,2001-08,,2001-08-31,2014-08,2014-08-31,,,,2011-11,ACTUAL,2011-11-30,,INTERVENTIONAL,,,Combination Chemotherapy and Dexrazoxane Followed by Surgery and Radiation Therapy in Treating Patients With Advanced Soft Tissue Sarcoma or Recurrent Bone Sarcoma,"Phase II Trial of Neoadjuvant Dose-Dense Doxorubicin, Ifosfamide, and Irinotecan (CPT-11) for Advanced Soft Tissue and Recurrent Bone Sarcomas",TERMINATED,,PHASE2,7.0,ACTUAL,City of Hope Medical Center,"The study was terminated…protocol objectives not met. It was closed prematurely due to withdrawal of support by the sponsor. Subjects have been followed, but there is not enough data generated to continue following the subjects.",1.0,,The study was terminated prematurely due to withdrawal of support by the sponsor.,f,,,,,,,,,,,,,,,,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT05005468,,2021-08-05,,,2021-08-05,2021-08-05,2021-08-13,ACTUAL,,,,,,,2021-08-05,2021-08-13,ACTUAL,2021-09,ESTIMATED,2021-09-30,2021-08,2021-08-31,2024-08,ESTIMATED,2024-08-31,2023-08,ESTIMATED,2023-08-31,,INTERVENTIONAL,CAMFA-L,,A Phase II Trial of Camrelizumab Combined With Famitinib for Adjuvant Treatment of Stage II-IIIA NSCLC.,A Phase II Trial of Camrelizumab Combined With Famitinib for Adjuvant Treatment of Stage II-IIIA Non-small Cell Lung Cancer With High-risk for Relapse and no Driver Gene Mutation.,UNKNOWN,NOT_YET_RECRUITING,PHASE2,61.0,ESTIMATED,Shanghai Chest Hospital,,2.0,,,f,,,,f,f,f,,,,,,,,,NO,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT03112720,,2014-09-03,2021-11-10,,2023-06-15,2017-04-07,2017-04-13,ACTUAL,2023-06-15,2023-06-22,ACTUAL,,,,2023-06-15,2023-06-22,ACTUAL,2016-09,,2016-09-30,2023-06,2023-06-30,2020-09,ACTUAL,2020-09-30,2020-09,ACTUAL,2020-09-30,,INTERVENTIONAL,,,Therapeutic Epidural Patch Versus Pain Block in the Midface for Headache,A Comparison of the Efficacy of Sphenopalatine Ganglion (SPG) Block With 5% Lidocaine Versus Epidural Blood Patch (EBP) for the Treatment of Post-Dural Puncture Headache (PDPH),TERMINATED,,PHASE3,8.0,ACTUAL,"Rutgers, The State University of New Jersey",,2.0,,no enrollment after covid pandemic,f,,,,f,t,f,,,,,,,,,NO,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT00517868,,2007-08-15,2024-05-10,2018-10-09,2024-08-20,2007-08-15,2007-08-17,ESTIMATED,2024-08-20,2024-08-23,ACTUAL,2018-10-09,2018-10-11,ACTUAL,2024-08-20,2024-08-23,ACTUAL,2007-08-28,ACTUAL,2007-08-28,2024-08,2024-08-31,2008-02-28,ACTUAL,2008-02-28,2008-02-28,ACTUAL,2008-02-28,,INTERVENTIONAL,,Subjects randomized per crossover arm as of the time of study termination.,Study of URG101 in Painful Bladder Syndrome and Interstitial Cystitis,"URG101 Pharmacodynamic and Safety Study: A Randomized, Double-blind, Placebo-controlled, Multi-center Cross-over Study to Investigate the Pharmacodynamic Profile of URG101 in Subjects With Pelvic Pain of Bladder Origin.",TERMINATED,,PHASE2,28.0,ACTUAL,Urigen,"The study was intended to include 40 subjects, but it had to be terminated early because the Food and Drug Administration (FDA) unexpectedly recalled the heparin used in the trial due to a possible contamination.~Of the 28 subjects enrolled, limited demographic information is available, and the available data are reported for all subjects as a single group.~Of the 28 subjects enrolled, there were 18 evaluable full-crossover subjects for the statistical analysis.",2.0,,The study was terminated due to Food and Drug Administration (FDA) recalled the heparin used in the trial because of possible contamination.,f,,,,f,,,,,,,,,,,NO,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,INDUSTRY,,,,,,
NCT05349760,,2022-03-31,,,2023-01-17,2022-04-21,2022-04-27,ACTUAL,,,,,,,2023-01-17,2023-01-19,ACTUAL,2023-03,ESTIMATED,2023-03-31,2023-01,2023-01-31,2025-06,ESTIMATED,2025-06-30,2025-03,ESTIMATED,2025-03-31,,INTERVENTIONAL,,,A Phase 2 Study to Evaluate Safety and Efficacy of AMB-05X in Subjects With Idiopathic Pulmonary Fibrosis,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy of AMB-05X in Subjects With Idiopathic Pulmonary Fibrosis",WITHDRAWN,,PHASE2,0.0,ACTUAL,"AmMax Bio, Inc.",,2.0,,to focus resources on other studies,f,,,,t,t,f,,,,,,,,,NO,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,INDUSTRY,,,,,,
NCT00483119,,2007-06-05,2015-10-05,,2016-01-21,2007-06-05,2007-06-06,ESTIMATED,2016-01-21,2016-02-18,ESTIMATED,,,,2016-01-21,2016-02-18,ESTIMATED,2007-04,,2007-04-30,2016-01,2016-01-31,2011-02,ACTUAL,2011-02-28,2010-02,ACTUAL,2010-02-28,,INTERVENTIONAL,,This number is based only on the number of patients who passed screening and then were enrolled. Please note that this study was not evaluable due to the untimely death of the study Principal Investigator as noted previously.,Randomized Trial of IVIg With or Without Cyclophosphamide in Pemphigus,Phase 2 Randomized Trial of IVIg With or Without Cyclophosphamide in Pemphigus,TERMINATED,,PHASE2,9.0,ACTUAL,NYU Langone Health,"Sadly, the trial PI, Dr. Jean-Claude Bystryn, died on August 19, 2010. As a result the study could not be completed and an analysis of the data collected was not performed.",2.0,,Study was terminated due to the death of the PI.,f,,,,t,,,,,,,,,,,,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT04190056,,2019-12-04,2023-07-19,,2023-08-09,2019-12-04,2019-12-09,ACTUAL,2023-08-09,2023-08-31,ACTUAL,,,,2023-08-09,2023-08-31,ACTUAL,2021-03-11,ACTUAL,2021-03-11,2023-08,2023-08-31,2023-06-15,ACTUAL,2023-06-15,2023-06-15,ACTUAL,2023-06-15,,INTERVENTIONAL,,"The study closed early due to a change in practice patterns, and no participants were enrolled on arm A",Pembrolizumab and Tamoxifen With or Without Vorinostat for the Treatment of Estrogen Receptor Positive Breast Cancer,Epigenetic Priming for Immune Therapy in ER-Positive Breast Cancer in Biomarker Select Population,TERMINATED,,PHASE2,1.0,ACTUAL,"University of California, San Francisco",The study closed early due to change in practice patterns,2.0,,Change in practice patterns,f,,,,t,t,f,,,f,,,,,,NO,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT01119118,,2010-05-05,2013-01-23,,2019-11-13,2010-05-06,2010-05-07,ESTIMATED,2013-03-18,2013-04-29,ESTIMATED,,,,2019-11-13,2019-11-21,ACTUAL,2010-04,,2010-04-30,2013-03,2013-03-31,2011-11,ACTUAL,2011-11-30,2011-08,ACTUAL,2011-08-31,,INTERVENTIONAL,,,ZD4054 With Positron Emission Tomography/Magnetic Resonance Imaging (PET/MRI) for Prostate Cancer,Pharmacodynamic Response Assessment With PET/MRI Imaging in Patients With Metastatic Prostate CAncer to Bone Treated With ZD4054,TERMINATED,,PHASE2,6.0,ACTUAL,"University of Wisconsin, Madison",,1.0,,,f,,,,t,,,,,,,,,,,,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT02378870,,2014-11-17,,,2016-06-29,2015-03-03,2015-03-04,ESTIMATED,,,,,,,2016-06-29,2016-06-30,ESTIMATED,2015-01,,2015-01-31,2016-06,2016-06-30,2015-09,ACTUAL,2015-09-30,2015-06,ACTUAL,2015-06-30,,INTERVENTIONAL,,,A Phase IIb Study to Evaluate Efficacy and Tolerability of ODX (Osteodex) in Metastatic CRPC,"A Randomised, Double-blind, Placebo-controlled Multicentre Phase II Study to Evaluate Efficacy and Tolerability of ODX (Osteodex) in Metastatic Castration Resistant Prostate Cancer (CRPC)",TERMINATED,,PHASE2,3.0,ACTUAL,DexTech Medical AB,,2.0,,Poor patient recruitment,f,,,,t,,,,,,,,,,,,,2026-03-01 12:41:31.382567,2026-03-01 12:41:31.382567,INDUSTRY,,,,,,
NCT05657457,,2022-12-02,,,2025-07-01,2022-12-10,2022-12-20,ACTUAL,,,,,,,2025-07-01,2025-07-02,ACTUAL,2023-03-21,ACTUAL,2023-03-21,2025-07,2025-07-31,2025-05-18,ACTUAL,2025-05-18,2025-05-18,ACTUAL,2025-05-18,,INTERVENTIONAL,,,Improving Neurological Outcome for Acute Basilar Artery Occlusion With Sufficient Recanalization After Thrombectomy by Intraarterial Tenecteplase (INSIST-IT),"Improving Neurological Outcome for Acute Basilar Artery Occlusion With Sufficient Recanalization After Thrombectomy by Intraarterial Tenecteplase (INSIST-IT): a Prospective, Randomized, Open-label, Blinded-end Point, Multicenter Trial",TERMINATED,,PHASE3,145.0,ACTUAL,General Hospital of Shenyang Military Region,,2.0,,The interim analysis showed the potential harm of intra-arterial TNK.,f,,,,t,f,f,,,,,,,,,UNDECIDED,,2026-03-01 12:46:12.521312,2026-03-01 12:46:12.521312,OTHER,,,,,,
NCT01340794,,2011-04-21,2016-03-23,,2017-09-19,2011-04-21,2011-04-25,ESTIMATED,2016-06-09,2016-07-21,ESTIMATED,,,,2017-09-19,2017-09-21,ACTUAL,2011-05,,2011-05-31,2017-09,2017-09-30,2014-11,ACTUAL,2014-11-30,2014-11,ACTUAL,2014-11-30,,INTERVENTIONAL,,All 6 patients that began protocol treatment were included in the baseline analysis.,Pazopanib Hydrochloride in Treating Patients With Advanced or Progressive Malignant Pheochromocytoma or Paraganglioma,A Phase 2 Study of Pazopanib (GW786034) in Patients With Advanced and Progressive Malignant Pheochromocytoma or Paraganglioma,TERMINATED,,PHASE2,7.0,ACTUAL,National Cancer Institute (NCI),,1.0,,Slow Accrual,f,,,,t,,,,,,,,,,,,,2026-03-01 12:48:42.889684,2026-03-01 12:48:42.889684,NIH,,,,,,
NCT00511329,,2007-08-02,2015-05-15,,2018-03-14,2007-08-02,2007-08-03,ESTIMATED,2018-03-14,2018-04-12,ACTUAL,,,,2018-03-14,2018-04-12,ACTUAL,2007-08,,2007-08-31,2018-03,2018-03-31,2010-05,ACTUAL,2010-05-31,2010-05,ACTUAL,2010-05-31,,INTERVENTIONAL,,PI left institution suddenly in 2010 and studies were closed. Study records for participants cannot be located and possibly have been destroyed.,Growth Hormone in Children With Juvenile Rheumatoid Arthritis (JRA) and With Crohn's Disease,Growth and the Effect of Genotropin in Chronically Ill Children With Juvenile Rheumatoid Arthritis and With Crohn's Disease,TERMINATED,,PHASE2/PHASE3,10.0,ACTUAL,Nationwide Children's Hospital,,1.0,,PI left the institution,f,,,,f,,,,,,,,,,,,,2026-03-01 12:48:42.889684,2026-03-01 12:48:42.889684,OTHER,,,,,,
NCT05005000,,2021-08-12,,,2024-01-10,2021-08-12,2021-08-13,ACTUAL,,,,,,,2024-01-10,2024-01-12,ACTUAL,2022-05-12,ACTUAL,2022-05-12,2024-01,2024-01-31,2023-05-25,ACTUAL,2023-05-25,2023-05-25,ACTUAL,2023-05-25,,INTERVENTIONAL,,,Autologous Intra-Articular Micro-Fragmented Adipose Transfer for the Treatment of Thumb Carpometacarpal Joint Arthritis,Autologous Intra-Articular Micro-Fragmented Adipose Transfer for the Treatment of Thumb Carpometacarpal Joint Arthritis,WITHDRAWN,,PHASE2,0.0,ACTUAL,NYU Langone Health,,2.0,,Difficulties getting subjects recruited and enrolled.,f,,,,f,t,f,,,t,,,Beginning 9 months and ending 36 months following article publication or as required by a condition of awards and agreements supporting the research.,"The investigator who proposed to use the data upon reasonable request. Requests should be directed to Jacques.Hacquebord@nyulangone.org. To gain access, data requestors will need to sign a data access agreement.",,YES,"Individual participant data that underlie the results reported in this article, after deidentification (text, tables, figures, and appendices) upon reasonable request.",2026-03-01 12:48:42.889684,2026-03-01 12:48:42.889684,OTHER,,,,,,
NCT03147040,,2017-05-04,,,2022-07-15,2017-05-09,2017-05-10,ACTUAL,,,,,,,2022-07-15,2022-07-19,ACTUAL,2017-11-02,ACTUAL,2017-11-02,2022-07,2022-07-31,2022-07-01,ACTUAL,2022-07-01,2022-05-01,ACTUAL,2022-05-01,,INTERVENTIONAL,GELATO,,AssessinG Efficacy of Carboplatin and ATezOlizumab in Metastatic Lobular Breast Cancer,AssessinG Efficacy of Carboplatin and ATezOlizumab in Metastatic Lobular Breast Cancer: GELATO-trial,TERMINATED,,PHASE2,23.0,ACTUAL,The Netherlands Cancer Institute,,1.0,,At interim analysis insufficient benefit was observed to continu the study,f,,,,f,f,f,,,,,,,,,UNDECIDED,to be decided,2026-03-01 12:48:42.889684,2026-03-01 12:48:42.889684,OTHER,,,,,,
NCT06105008,,2023-10-23,,,2024-08-21,2023-10-23,2023-10-27,ACTUAL,,,,,,,2024-08-21,2024-08-23,ACTUAL,2024-12-20,ESTIMATED,2024-12-20,2023-10,2023-10-31,2026-04-10,ESTIMATED,2026-04-10,2025-12-20,ESTIMATED,2025-12-20,,INTERVENTIONAL,,,"Study of Disitamab Vedotin With Toripalimab Verus Disitamab Vedotin in Hormone Receptor Positive, HER2-low Locally Advanced or Metastatic Breast Cancer","An Randomized, Open-label, Multicenter Phase 2 Study Comparing the Efficacy and Safety of Disitamab Vedotin With Toripalimab Verus Disitamab Vedotin Monotherapy in Subjects With Endocrine-resistant Hormone Receptor-positive, HER2-Low Unresectable Locally Advanced or Metastatic Breast Cancer",WITHDRAWN,,PHASE2,0.0,ACTUAL,"RemeGen Co., Ltd.",,2.0,,Due to the company's strategic adjustment (non-security related),f,,,,f,f,f,,,,,,,,,NO,,2026-03-01 12:48:42.889684,2026-03-01 12:48:42.889684,INDUSTRY,,,,,,
NCT00210366,,2005-09-13,,,2010-07-29,2005-09-13,2005-09-21,ESTIMATED,,,,,,,2010-07-29,2010-07-30,ESTIMATED,2004-11,,2004-11-30,2010-07,2010-07-31,,,,2010-07,ACTUAL,2010-07-31,,INTERVENTIONAL,,,Salvage Therapy With Idarubicin in Relapsing CNS Lymphoma,Salvage Therapy With Idarubicin in Immunocompetent Patients With Relapsed or Refractory Primary Central Nervous System Lymphomas,TERMINATED,,PHASE2,25.0,ESTIMATED,International Extranodal Lymphoma Study Group (IELSG),,,,due to slow accrual,f,,,,,,,,,,,,,,,,,2026-03-01 12:48:42.889684,2026-03-01 12:48:42.889684,OTHER,,,,,,
